商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	前置条件屏蔽显示	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
201054	1002	1035		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201055	1002	1062		1	300000											1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201056	1002	1043		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201057	1002	1053		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201058	1002	1059		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201059	1002	1027		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201060	1002	1034		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201061	1002	1055		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201062	1002	1064		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201063	1002	1006		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201064	1002	1020		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201065	1002	1024		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201066	1002	1031		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201067	1002	1056		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201068	1002	1065		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201069	1002	1068		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201070	1002	1067		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201071	1002	1014		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201072	1002	1025		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201073	1002	1072		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201074	1002	1021		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201075	1002	1023		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201076	1002	1032		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201077	1002	1048		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201078	1002	1050		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201079	1002	1044		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201080	1002	1015		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201081	1002	1036		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201082	1002	1039		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201083	1002	1045		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201084	1002	1074		1	300000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201085	1002	11403		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201086	1002	11409		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201087	1002	11410		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201088	1002	11417		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201089	1002	11418		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201090	1002	11401		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201091	1002	11402		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201092	1002	11404		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201093	1002	11405		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201094	1002	11406		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201095	1002	11407		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201096	1002	11408		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201097	1002	11412		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201098	1002	200103		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201099	1002	11413		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201100	1002	11414		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201101	1002	11415		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201102	1002	200108		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201103	1002	11416		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201104	1002	11419		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201105	1002	12401		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201106	1002	12402		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201107	1002	12403		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201108	1002	12404		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201109	1002	12405		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201110	1002	12409		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201111	1002	12410		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201112	1002	12406		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201113	1002	12407		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201114	1002	12408		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201115	1002	12411		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201116	1002	12412		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201117	1002	200106		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201118	1002	12414		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201119	1002	12415		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201120	1002	12416		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201121	1002	12417		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201122	1002	13402		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201123	1002	13403		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201124	1002	13404		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201125	1002	13408		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201126	1002	13409		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201127	1002	13401		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201128	1002	13405		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201129	1002	13406		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201130	1002	13407		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201131	1002	13414		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201132	1002	13415		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201133	1002	200107		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201134	1002	13416		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201135	1002	13417		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201136	1002	13419		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201137	1002	200112		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201138	1002	14401		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201139	1002	14404		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201140	1002	14406		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201141	1002	14407		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201142	1002	14408		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201143	1002	14409		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201144	1002	14412		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201145	1002	14413		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201146	1002	200105		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201147	1002	14414		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201148	1002	14415		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201149	1002	200109		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201150	1002	14402		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201151	1002	14403		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201152	1002	14405		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201153	1002	14410		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201154	1002	14416		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201155	1002	14417		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201156	1002	15401		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201157	1002	15405		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201158	1002	15406		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201159	1002	15407		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201160	1002	15408		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201161	1002	15411		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201162	1002	200110		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201163	1002	15413		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201164	1002	200104		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201165	1002	15414		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201166	1002	15416		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201167	1002	15417		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201168	1002	15418		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201169	1002	200111		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201170	1002	15402		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201171	1002	15403		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201172	1002	15404		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201173	1002	15409		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201174	1002	15410		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201175	1002	15412		1	300000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201176	1002	15501		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201177	1002	15502		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201178	1002	15503		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201179	1002	15507		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201180	1002	15508		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201181	1002	15509		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201182	1002	15511		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201183	1002	14504		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201184	1002	14506		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201185	1002	14509		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201186	1002	14501		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201187	1002	14502		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201188	1002	14511		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201189	1002	13501		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201190	1002	13502		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201191	1002	13504		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201192	1002	13505		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201193	1002	13507		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201194	1002	13509		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201195	1002	13511		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201196	1002	12501		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201197	1002	12502		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201198	1002	12503		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201199	1002	11509		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201200	1002	12510		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201201	1002	11501		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201202	1002	11502		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201203	1002	11503		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201204	1002	11504		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201205	1002	11505		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201206	1002	11509		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201207	1002	11510		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201208	1002	11511		1	1000000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202001	1003	11201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202002	1003	12201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202003	1003	13201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202004	1003	14201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202005	1003	15201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202006	1003	220014		1	10000											1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202007	1003	220015		1	10000											1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202008	1003	220016		1	10000											1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202009	1003	220038		1	10000											1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202010	1003	220062		1	10000											1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202011	1003	220023		1	10000											1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202012	1003	220045		1	10000											1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202013	1003	220074		1	10000											1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202014	1003	100021		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202015	1003	100022		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202016	1003	100023		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202017	1003	100024		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202018	1003	100025		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202019	1003	100026		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202020	1003	100027		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202021	1003	100028		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202022	1003	100052		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202023	1003	100053		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202024	1003	100054		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202025	1003	100029		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202026	1003	100030		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202027	1003	100031		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202028	1003	100032		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202029	1003	100033		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202030	1003	100034		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202031	1003	100055		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202032	1003	100056		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202033	1003	100057		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202034	1003	100058		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202035	1003	101201		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202036	1003	101202		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202037	1003	101203		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202038	1003	101204		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202039	1003	101205		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202040	1003	101206		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202041	1003	101207		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202042	1003	101208		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202043	1003	101209		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202044	1003	101210		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202045	1003	101211		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202046	1003	101212		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202047	1003	101213		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202048	1003	101214		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202049	1003	101215		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202050	1003	101216		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202051	1003	101217		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202052	1003	101218		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
